Material,Steel
Geometry,Rectangular
Width,"0.12400",in
Thickness,"0.12400",in
Length,"2.00000",in

Time,Extension,Load
(s),(in),(lbf)
"70.89100","0.04726","606.09940"
"70.99100","0.04733","606.99617"
"71.09100","0.04740","608.49162"
"71.19100","0.04747","610.05365"
"71.29100","0.04753","610.95733"
"71.39100","0.04759","611.60530"
"71.49100","0.04765","612.66173"
"71.59100","0.04773","614.32386"
"71.69100","0.04780","616.22118"
"71.79100","0.04787","617.21208"
"71.89100","0.04793","618.02086"
"71.99100","0.04799","618.93695"
"72.09100","0.04806","620.19332"
"72.19100","0.04813","621.63526"
"72.29100","0.04819","622.75892"
"72.39100","0.04825","623.57830"
"72.49100","0.04833","625.15553"
"72.59100","0.04840","626.77820"
"72.69100","0.04847","627.94621"
"72.79100","0.04853","628.83518"
"72.89100","0.04859","629.79150"
"72.99100","0.04866","631.09611"
"73.09100","0.04873","632.74239"
"73.19100","0.04880","633.76083"
"73.29100","0.04886","634.52247"
"73.39100","0.04892","635.48603"
"73.49100","0.04899","636.99932"
"73.59100","0.04907","638.85707"
"73.69100","0.04914","640.14709"
"73.79100","0.04920","640.89243"
"73.89100","0.04925","641.69759"
"73.99100","0.04933","643.09886"
"74.09100","0.04940","644.64612"
"74.19100","0.04946","645.89953"
"74.29100","0.04952","646.69970"
"74.39100","0.04959","647.96156"
"74.49100","0.04967","649.69680"
"74.59100","0.04974","651.06047"
"74.69100","0.04980","651.89720"
"74.79100","0.04986","652.86690"
"74.89100","0.04993","654.17377"
"74.99100","0.05000","655.78541"
"75.09100","0.05007","657.12247"
"75.19100","0.05013","657.87324"
"75.29100","0.05019","658.66567"
"75.39100","0.05025","660.02352"
"75.49100","0.05033","661.89938"
"75.59100","0.05040","663.53012"
"75.69100","0.05046","664.24703"
"75.79100","0.05053","665.24484"
"75.89100","0.05059","666.31268"
"75.99100","0.05066","667.78119"
"76.09100","0.05073","669.09387"
"76.19100","0.05079","669.99596"
"76.29100","0.05086","671.23279"
"76.39100","0.05093","672.97687"
"76.49100","0.05100","674.54510"
"76.59100","0.05106","675.36316"
"76.69100","0.05113","676.28940"
"76.79100","0.05119","677.42459"
"76.89100","0.05127","679.19578"
"76.99100","0.05134","680.64513"
"77.09100","0.05140","681.39585"
"77.19100","0.05145","682.16846"
"77.29100","0.05152","683.36924"
"77.39100","0.05160","685.17084"
"77.49100","0.05167","686.99077"
"77.59100","0.05173","687.81882"
"77.69100","0.05180","688.81542"
"77.79100","0.05186","689.87772"
"77.89100","0.05193","691.29875"
"77.99100","0.05200","692.73684"
"78.09100","0.05206","693.72516"
"78.19100","0.05212","694.77105"
"78.29100","0.05220","696.34081"
"78.39100","0.05227","698.08703"
"78.49100","0.05233","699.22002"
"78.59100","0.05239","700.03863"
"78.69100","0.05245","700.93265"
"78.79100","0.05253","702.82910"
"78.89100","0.05260","704.42098"
"78.99100","0.05266","705.21731"
"79.09100","0.05272","705.99201"
"79.19100","0.05278","707.01545"
"79.29100","0.05286","708.86161"
"79.39100","0.05294","710.92513"
"79.49100","0.05300","711.88380"
"79.59100","0.05306","712.67074"
"79.69100","0.05313","713.79429"
"79.79100","0.05319","715.07893"
"79.89100","0.05326","716.46368"
"79.99100","0.05333","717.56599"
